T,MSD
3.37,30.4485
3.375,30.516
3.38,30.5836
3.385,30.6513
3.39,30.7189
3.395,30.7867
3.4,30.8545
3.405,30.9223
3.41,30.9901
3.415,31.0579
3.42,31.1258
3.425,31.1936
3.43,31.2615
3.435,31.3294
3.44,31.3973
3.445,31.4653
3.45,31.5333
3.455,31.6014
3.46,31.6696
3.465,31.7378
3.47,31.8062
3.475,31.8746
3.48,31.9432
3.485,32.0119
3.49,32.0807
3.495,32.1497
3.5,32.2187
3.505,32.2878
3.51,32.357
3.515,32.4262
3.52,32.4955
3.525,32.5647
3.53,32.6339
3.535,32.7031
3.54,32.7723
3.545,32.8415
3.55,32.9108
3.555,32.98
3.56,33.0492
3.565,33.1184
3.57,33.1876
3.575,33.2566
3.58,33.3256
3.585,33.3946
3.59,33.4634
3.595,33.5323
3.6,33.6011
3.605,33.6699
3.61,33.7387
3.615,33.8075
3.62,33.8764
3.625,33.9453
3.63,34.0143
3.635,34.0832
3.64,34.1522
3.645,34.2211
3.65,34.29
3.655,34.3589
3.66,34.4277
3.665,34.4964
3.67,34.5651
3.675,34.6338
3.68,34.7023
3.685,34.7708
3.69,34.8393
3.695,34.9076
3.7,34.9759
3.705,35.0442
3.71,35.1125
3.715,35.1807
3.72,35.249
3.725,35.3173
3.73,35.3857
3.735,35.4541
3.74,35.5226
3.745,35.5911
3.75,35.6597
3.755,35.7283
3.76,35.797
3.765,35.8657
3.77,35.9344
3.775,36.0032
3.78,36.072
3.785,36.1408
3.79,36.2096
3.795,36.2784
3.8,36.3472
3.805,36.416
3.81,36.4848
3.815,36.5536
3.82,36.6223
3.825,36.6911
3.83,36.7599
3.835,36.8287
3.84,36.8976
3.845,36.9666
3.85,37.0356
3.855,37.1047
3.86,37.1739
3.865,37.2432
3.87,37.3126
3.875,37.3821
3.88,37.4517
3.885,37.5214
3.89,37.5912
3.895,37.6612
3.9,37.7312
3.905,37.8014
3.91,37.8716
3.915,37.942
3.92,38.0124
3.925,38.0829
3.93,38.1535
3.935,38.224
3.94,38.2946
3.945,38.3652
3.95,38.4358
3.955,38.5064
3.96,38.577
3.965,38.6477
3.97,38.7184
3.975,38.7891
3.98,38.8599
3.985,38.9308
3.99,39.0017
3.995,39.0727
4,39.1437
4.005,39.2148
4.01,39.2859
4.015,39.3571
4.02,39.4283
4.025,39.4995
4.03,39.5708
4.035,39.6421
4.04,39.7135
4.045,39.7849
4.05,39.8563
4.055,39.9277
4.06,39.9992
4.065,40.0706
4.07,40.1421
4.075,40.2137
4.08,40.2853
4.085,40.3569
4.09,40.4286
4.095,40.5004
4.1,40.5722
4.105,40.6441
4.11,40.716
4.115,40.788
4.12,40.86
4.125,40.9321
4.13,41.0041
4.135,41.0762
4.14,41.1482
4.145,41.2203
4.15,41.2923
4.155,41.3643
4.16,41.4362
4.165,41.5081
4.17,41.58
4.175,41.6519
4.18,41.7238
4.185,41.7956
4.19,41.8676
4.195,41.9395
4.2,42.0115
4.205,42.0835
4.21,42.1556
4.215,42.2278
4.22,42.3001
4.225,42.3725
4.23,42.4449
4.235,42.5173
4.24,42.5898
4.245,42.6623
4.25,42.7348
4.255,42.8072
4.26,42.8796
4.265,42.9521
4.27,43.0245
4.275,43.0969
4.28,43.1693
4.285,43.2417
4.29,43.3141
4.295,43.3865
4.3,43.4589
4.305,43.5314
4.31,43.6038
4.315,43.6763
4.32,43.7489
4.325,43.8214
4.33,43.8939
4.335,43.9664
4.34,44.0388
4.345,44.1112
4.35,44.1834
4.355,44.2554
4.36,44.3272
4.365,44.3988
4.37,44.4702
4.375,44.5415
4.38,44.6127
4.385,44.684
4.39,44.7552
4.395,44.8265
4.4,44.8978
4.405,44.9693
4.41,45.0408
4.415,45.1124
4.42,45.1842
4.425,45.256
4.43,45.328
4.435,45.4001
4.44,45.4722
4.445,45.5445
4.45,45.6168
4.455,45.6893
4.46,45.7617
4.465,45.8342
4.47,45.9068
4.475,45.9793
4.48,46.0519
4.485,46.1245
4.49,46.1971
4.495,46.2697
4.5,46.3423
4.505,46.4149
4.51,46.4875
4.515,46.5602
4.52,46.633
4.525,46.7058
4.53,46.7787
4.535,46.8516
4.54,46.9246
4.545,46.9976
4.55,47.0706
4.555,47.1436
4.56,47.2165
4.565,47.2894
4.57,47.3622
4.575,47.4348
4.58,47.5074
4.585,47.58
4.59,47.6525
4.595,47.7249
4.6,47.7974
4.605,47.8699
4.61,47.9424
4.615,48.0149
4.62,48.0874
4.625,48.1599
4.63,48.2325
4.635,48.305
4.64,48.3776
4.645,48.4501
4.65,48.5226
4.655,48.5951
4.66,48.6676
4.665,48.74
4.67,48.8124
4.675,48.8848
4.68,48.9571
4.685,49.0295
4.69,49.1019
4.695,49.1743
4.7,49.2467
4.705,49.3192
4.71,49.3917
4.715,49.4643
4.72,49.537
4.725,49.6097
4.73,49.6825
4.735,49.7553
4.74,49.8282
4.745,49.9012
4.75,49.9743
4.755,50.0474
4.76,50.1206
4.765,50.1938
4.77,50.2671
4.775,50.3405
4.78,50.4139
4.785,50.4874
4.79,50.5609
4.795,50.6345
4.8,50.708
4.805,50.7816
4.81,50.8553
4.815,50.9289
4.82,51.0025
4.825,51.0762
4.83,51.1498
4.835,51.2234
4.84,51.2971
4.845,51.3707
4.85,51.4442
4.855,51.5178
4.86,51.5912
4.865,51.6647
4.87,51.738
4.875,51.8114
4.88,51.8846
4.885,51.9579
4.89,52.0311
4.895,52.1043
4.9,52.1775
4.905,52.2507
4.91,52.3239
4.915,52.397
4.92,52.4702
4.925,52.5433
4.93,52.6164
4.935,52.6895
4.94,52.7625
4.945,52.8355
4.95,52.9084
4.955,52.9812
4.96,53.054
4.965,53.1268
4.97,53.1995
4.975,53.2722
4.98,53.345
4.985,53.4176
4.99,53.4903
4.995,53.5629
5,53.6354
5.005,53.7077
5.01,53.78
5.015,53.8521
5.02,53.924
5.025,53.9957
5.03,54.0673
5.035,54.1386
5.04,54.2099
5.045,54.281
5.05,54.352
5.055,54.4229
5.06,54.4938
5.065,54.5646
5.07,54.6353
5.075,54.706
5.08,54.7767
5.085,54.8473
5.09,54.9179
5.095,54.9884
5.1,55.0589
5.105,55.1294
5.11,55.1998
5.115,55.2703
5.12,55.3408
5.125,55.4113
5.13,55.4819
5.135,55.5526
5.14,55.6233
5.145,55.6942
5.15,55.7651
5.155,55.836
5.16,55.9071
5.165,55.9782
5.17,56.0494
5.175,56.1207
5.18,56.1921
5.185,56.2636
5.19,56.3352
5.195,56.4069
5.2,56.4786
5.205,56.5505
5.21,56.6225
5.215,56.6946
5.22,56.7668
5.225,56.8392
5.23,56.9116
5.235,56.9842
5.24,57.0568
5.245,57.1295
5.25,57.2023
5.255,57.2752
5.26,57.3481
5.265,57.4211
5.27,57.4941
5.275,57.5671
5.28,57.6402
5.285,57.7132
5.29,57.7863
5.295,57.8593
5.3,57.9323
5.305,58.0053
5.31,58.0782
5.315,58.1512
5.32,58.2241
5.325,58.2971
5.33,58.37
5.335,58.4429
5.34,58.5157
5.345,58.5886
5.35,58.6614
5.355,58.7341
5.36,58.8069
5.365,58.8796
5.37,58.9523
5.375,59.0251
5.38,59.0978
5.385,59.1705
5.39,59.2433
5.395,59.3161
5.4,59.3889
5.405,59.4617
5.41,59.5345
5.415,59.6073
5.42,59.6801
5.425,59.753
5.43,59.8258
5.435,59.8986
5.44,59.9714
5.445,60.0442
5.45,60.1169
5.455,60.1897
5.46,60.2624
5.465,60.3351
5.47,60.4077
5.475,60.4803
5.48,60.5529
5.485,60.6254
5.49,60.6978
5.495,60.7701
5.5,60.8423
5.505,60.9145
5.51,60.9865
5.515,61.0585
5.52,61.1304
5.525,61.2023
5.53,61.2741
5.535,61.3459
5.54,61.4177
5.545,61.4895
5.55,61.5614
5.555,61.6332
5.56,61.705
5.565,61.7768
5.57,61.8487
5.575,61.9207
5.58,61.9927
5.585,62.0647
5.59,62.1369
5.595,62.2091
5.6,62.2814
5.605,62.3538
5.61,62.4263
5.615,62.4989
5.62,62.5716
5.625,62.6444
5.63,62.7173
5.635,62.7903
5.64,62.8635
5.645,62.9367
5.65,63.0101
5.655,63.0835
5.66,63.157
5.665,63.2306
5.67,63.3043
5.675,63.378
5.68,63.4518
5.685,63.5256
5.69,63.5994
5.695,63.6732
5.7,63.747
5.705,63.8208
5.71,63.8945
5.715,63.9683
5.72,64.0421
5.725,64.1158
5.73,64.1896
5.735,64.2633
5.74,64.3371
5.745,64.4108
5.75,64.4845
5.755,64.5583
5.76,64.6321
5.765,64.706
5.77,64.7799
5.775,64.8539
5.78,64.9279
5.785,65.0021
5.79,65.0765
5.795,65.1509
5.8,65.2254
5.805,65.3
5.81,65.3747
5.815,65.4495
5.82,65.5242
5.825,65.599
5.83,65.6737
5.835,65.7485
5.84,65.8233
5.845,65.8981
5.85,65.9729
5.855,66.0477
5.86,66.1225
5.865,66.1974
5.87,66.2723
5.875,66.3472
5.88,66.4222
5.885,66.4973
5.89,66.5724
5.895,66.6476
5.9,66.7228
5.905,66.7981
5.91,66.8734
5.915,66.9487
5.92,67.0241
5.925,67.0994
5.93,67.1748
5.935,67.2501
5.94,67.3254
5.945,67.4008
5.95,67.4761
5.955,67.5514
5.96,67.6267
5.965,67.7019
5.97,67.7772
5.975,67.8523
5.98,67.9275
5.985,68.0026
5.99,68.0776
5.995,68.1526
6,68.2276
6.005,68.3025
6.01,68.3773
6.015,68.4521
6.02,68.5269
6.025,68.6016
6.03,68.6762
6.035,68.7507
6.04,68.8252
6.045,68.8996
6.05,68.974
6.055,69.0484
6.06,69.1227
6.065,69.1971
6.07,69.2715
6.075,69.346
6.08,69.4205
6.085,69.495
6.09,69.5695
6.095,69.6441
6.1,69.7187
6.105,69.7932
6.11,69.8678
6.115,69.9424
6.12,70.0169
6.125,70.0914
6.13,70.1659
6.135,70.2403
6.14,70.3148
6.145,70.3892
6.15,70.4635
6.155,70.5379
6.16,70.6123
6.165,70.6866
6.17,70.7609
6.175,70.8351
6.18,70.9093
6.185,70.9835
6.19,71.0576
6.195,71.1316
6.2,71.2055
6.205,71.2794
6.21,71.3531
6.215,71.4268
6.22,71.5004
6.225,71.5739
6.23,71.6474
6.235,71.7208
6.24,71.7941
6.245,71.8674
6.25,71.9405
6.255,72.0136
6.26,72.0865
6.265,72.1593
6.27,72.232
6.275,72.3046
6.28,72.3771
6.285,72.4495
6.29,72.522
6.295,72.5944
6.3,72.6669
6.305,72.7395
6.31,72.812
6.315,72.8847
6.32,72.9574
6.325,73.0301
6.33,73.1029
6.335,73.1757
6.34,73.2485
6.345,73.3214
6.35,73.3941
6.355,73.4669
6.36,73.5397
6.365,73.6124
6.37,73.685
6.375,73.7576
6.38,73.8301
6.385,73.9026
6.39,73.975
6.395,74.0473
6.4,74.1196
6.405,74.1919
6.41,74.2642
6.415,74.3364
6.42,74.4086
6.425,74.4809
6.43,74.5531
6.435,74.6254
6.44,74.6978
6.445,74.7702
6.45,74.8426
6.455,74.9151
6.46,74.9877
6.465,75.0603
6.47,75.133
6.475,75.2059
6.48,75.2788
6.485,75.3518
6.49,75.425
6.495,75.4982
6.5,75.5716
6.505,75.6451
6.51,75.7187
6.515,75.7923
6.52,75.866
6.525,75.9397
6.53,76.0134
6.535,76.0871
6.54,76.1609
6.545,76.2347
6.55,76.3084
6.555,76.3822
6.56,76.456
6.565,76.5298
6.57,76.6037
6.575,76.6776
6.58,76.7515
6.585,76.8255
6.59,76.8994
6.595,76.9734
6.6,77.0473
6.605,77.1212
6.61,77.195
6.615,77.2687
6.62,77.3423
6.625,77.4159
6.63,77.4894
6.635,77.5628
6.64,77.6362
6.645,77.7096
6.65,77.783
6.655,77.8565
6.66,77.9299
6.665,78.0034
6.67,78.077
6.675,78.1506
6.68,78.2243
6.685,78.2981
6.69,78.3719
6.695,78.4458
6.7,78.5197
6.705,78.5937
6.71,78.6677
6.715,78.7417
6.72,78.8157
6.725,78.8897
6.73,78.9637
6.735,79.0378
6.74,79.1119
6.745,79.186
6.75,79.2602
6.755,79.3344
6.76,79.4086
6.765,79.4829
6.77,79.5572
6.775,79.6314
6.78,79.7057
6.785,79.7799
6.79,79.8541
6.795,79.9282
6.8,80.0023
6.805,80.0763
6.81,80.1502
6.815,80.2242
6.82,80.2981
6.825,80.372
6.83,80.4459
6.835,80.5198
6.84,80.5937
6.845,80.6677
6.85,80.7417
6.855,80.8158
6.86,80.8899
6.865,80.9641
6.87,81.0385
6.875,81.1129
6.88,81.1875
6.885,81.2622
6.89,81.337
6.895,81.412
6.9,81.4871
6.905,81.5622
6.91,81.6374
6.915,81.7126
6.92,81.7879
6.925,81.8631
6.93,81.9383
6.935,82.0135
6.94,82.0887
6.945,82.1638
6.95,82.2389
6.955,82.3139
6.96,82.3888
6.965,82.4637
6.97,82.5384
